module,mean,var,std,min,max,p01,p05,p50,p95,p99,zero_ratio
refine_se.block.fc.0,-0.0032078672666102648,3.338815446340959e-08,0.00020829823442220912,-0.0036260795313864946,-0.0023889094591140747,-0.0036037610843777657,-0.0034705179277807474,-0.00321487570181489,-0.002965111518278718,-0.002583386143669486,0.0
refine_se.block.fc.1,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
refine_se.block.fc.2,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
refine_se.block.fc.3,0.5,0.0,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
refine_out.0,0.009676223620772362,0.00014905947318766266,0.012209401016743723,-0.04277799651026726,0.07125385850667953,-0.016970591619610786,-0.009896846488118172,0.009388584643602371,0.030223265290260315,0.03907153010368347,0.0048828125
refine_out.1,0.009674393571913242,0.00014898314839228988,0.012206274959720098,-0.04275192320346832,0.07113351672887802,-0.01696896180510521,-0.009896524250507355,0.009388308972120285,0.030214067548513412,0.039051659405231476,0.0048828125
encoder_conv.block.0,-0.004437065217643976,0.026546990498900414,0.1629325028927636,-0.7514405250549316,0.779229998588562,-0.40630602836608887,-0.2910084128379822,-0.0025034109130501747,0.2705881595611572,0.3935995101928711,0.0005750656127929688
encoder_conv.block.1,-0.004437043331563473,0.026546722277998924,0.16293167978634152,-0.751436710357666,0.7792260646820068,-0.4063039720058441,-0.29100698232650757,-0.0025033983401954174,0.2705867886543274,0.3935975134372711,0.0005750656127929688
encoder_conv.block.2,0.06091003492474556,0.008783695288002491,0.09372142384749867,0.0,0.7792260646820068,0.0,0.0,0.0,0.2705867886543274,0.3935975134372711,0.5068292617797852
encoder_se.block.avg_pool,0.06731374561786652,0.001236087060533464,0.03515817203060284,0.006359510123729706,0.2396349310874939,0.011143292300403118,0.02883940376341343,0.07118463516235352,0.11836554110050201,0.1678520143032074,0.0
encoder_se.block.fc.0,-0.028276540338993073,2.961990139738191e-05,0.005443335502922993,-0.04391712695360184,-0.013367054052650928,-0.04199162498116493,-0.037521734833717346,-0.02689724788069725,-0.021888427436351776,-0.018300626426935196,0.0
encoder_se.block.fc.1,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
encoder_se.block.fc.2,0.0,0.0,0.0001,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0
encoder_se.block.fc.3,0.5,0.0,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
encoder_fc,-0.0012777837691828609,0.0244463924318552,0.15635345353350916,-0.7281181812286377,0.7016779184341431,-0.3663083612918854,-0.2576761543750763,-0.001228518784046173,0.2556125521659851,0.3633413016796112,0.000431060791015625
decoder_fc,-0.00015404056466650218,0.008228364400565624,0.09071038750091207,-0.44411173462867737,0.44648903608322144,-0.21245840191841125,-0.149601548910141,-9.464425966143608e-05,0.14872150123119354,0.2119407206773758,0.0008869171142578125
refine.0,1.476675970479846e-05,0.0027193601708859205,0.052147580681043304,-0.32482901215553284,0.3136387765407562,-0.12471449375152588,-0.08577275276184082,2.4982031391118653e-05,0.08577500283718109,0.12486187368631363,0.0015838146209716797
refine.1,1.4766679669264704e-05,0.0027193326968699694,0.05214731725477322,-0.3248273730278015,0.3136371970176697,-0.12471386045217514,-0.0857723206281662,2.4981904061860405e-05,0.08577457070350647,0.12486124038696289,0.0015838146209716797
refine.2,0.02055535279214382,0.0009377482929266989,0.030622839400138893,0.0,0.3136371970176697,0.0,0.0,2.4981904061860405e-05,0.08577457070350647,0.12486124038696289,0.5006067752838135
refine.3,0.0012570484541356564,0.00042571095400489867,0.020633006421869274,-0.1168995052576065,0.13715820014476776,-0.0458996519446373,-0.031895846128463745,0.0008088438771665096,0.03592192381620407,0.05198536440730095,0.003999829292297363
refine.4,0.0012570422841235995,0.0004257066175341606,0.02063290133583158,-0.11689891666173935,0.13715749979019165,-0.045899420976638794,-0.03189568594098091,0.0008088398026302457,0.03592173755168915,0.05198509991168976,0.003999829292297363
refine.5,0.008790930733084679,0.00016399877495132387,0.01280659107457265,0.0,0.13715749979019165,0.0,0.0,0.0008088398026302457,0.03592173755168915,0.05198509991168976,0.4858524799346924
refine_se.block.avg_pool,0.008790930733084679,4.151094617554918e-05,0.006443674896792139,0.0015649173874408007,0.0246698260307312,0.0016728183254599571,0.0018137270817533135,0.005864370614290237,0.020651042461395264,0.022263286635279655,0.0
